respondent_id,nps_score,open_text,segment,timestamp
RESP-0195,3,We're considering switching to a competitor.,Startup,2025-06-01T03:14:10
RESP-0437,10,Excellent customer support.,SMB,2025-06-01T03:41:33
RESP-0188,7,Useful but a bit slow with large datasets.,Enterprise,2025-06-01T07:13:28
RESP-0472,9,Very intuitive interface.,Enterprise,2025-06-01T11:21:06
RESP-0385,9,Best analytics tool we've tried.,Mid-Market,2025-06-01T14:49:47
RESP-0003,8,"Good overall, but the export feature needs work.",SMB,2025-06-01T15:14:04
RESP-0144,10,Exactly what we needed for our marketing team.,Startup,2025-06-01T15:14:14
RESP-0069,8,"Good overall, but the export feature needs work.",Enterprise,2025-06-02T17:20:28
RESP-0414,2,We're considering switching to a competitor.,Startup,2025-06-02T22:02:25
RESP-0042,8,Useful but a bit slow with large datasets.,Startup,2025-06-03T01:32:09
RESP-0292,10,Really easy to use. Saves us hours each week.,Enterprise,2025-06-03T05:27:41
RESP-0070,10,Powerful and easy to learn.,Enterprise,2025-06-03T09:22:58
RESP-0441,10,Solid reporting features. Would recommend.,Enterprise,2025-06-03T10:46:33
RESP-0208,3,Missing key integrations we need.,Enterprise,2025-06-03T17:24:14
RESP-0270,10,Solid reporting features. Would recommend.,Mid-Market,2025-06-04T06:27:24
RESP-0142,7,Useful but a bit slow with large datasets.,Enterprise,2025-06-04T21:15:20
RESP-0207,8,"Does what we need, nothing more.",Startup,2025-06-05T01:59:27
RESP-0463,10,Excellent customer support.,Enterprise,2025-06-05T12:41:21
RESP-0288,9,The team loves it. Onboarding was smooth.,Mid-Market,2025-06-05T18:15:04
RESP-0457,8,"Good overall, but the export feature needs work.",Startup,2025-06-05T21:27:21
RESP-0327,9,Love the funnel analysis feature.,Enterprise,2025-06-06T20:48:29
RESP-0004,8,Decent tool. Wish it had better integrations.,Mid-Market,2025-06-07T09:28:19
RESP-0135,8,Decent tool. Wish it had better integrations.,Startup,2025-06-07T15:08:11
RESP-0267,5,Missing key integrations we need.,Startup,2025-06-07T16:35:44
RESP-0147,10,Excellent customer support.,Mid-Market,2025-06-07T20:38:34
RESP-0235,8,It's fine for basic reporting.,Mid-Market,2025-06-07T21:42:35
RESP-0262,7,Adequate for our current needs.,Mid-Market,2025-06-08T14:47:10
RESP-0344,9,Love the funnel analysis feature.,Startup,2025-06-08T15:57:25
RESP-0378,4,We had trouble getting data imported.,SMB,2025-06-08T20:30:31
RESP-0187,9,The team loves it. Onboarding was smooth.,Mid-Market,2025-06-08T21:12:04
RESP-0271,9,Solid reporting features. Would recommend.,Mid-Market,2025-06-09T02:47:59
RESP-0155,8,Adequate for our current needs.,Startup,2025-06-10T06:14:15
RESP-0094,8,"Some features are great, others feel half-baked.",SMB,2025-06-10T19:14:24
RESP-0468,7,Adequate for our current needs.,Enterprise,2025-06-10T22:15:10
RESP-0016,9,Best analytics tool we've tried.,Enterprise,2025-06-11T11:21:01
RESP-0197,8,"Good overall, but the export feature needs work.",Startup,2025-06-12T08:24:29
RESP-0399,10,Powerful and easy to learn.,Mid-Market,2025-06-12T12:40:24
RESP-0097,6,Not intuitive at all.,SMB,2025-06-12T13:47:52
RESP-0081,10,Best analytics tool we've tried.,Enterprise,2025-06-13T21:28:54
RESP-0356,8,It's fine for basic reporting.,Startup,2025-06-15T05:27:31
RESP-0426,8,UI could be more modern.,Mid-Market,2025-06-16T01:27:50
RESP-0369,9,Solid reporting features. Would recommend.,SMB,2025-06-16T11:27:23
RESP-0293,10,Solid reporting features. Would recommend.,Mid-Market,2025-06-17T09:24:31
RESP-0287,10,Excellent customer support.,Mid-Market,2025-06-18T04:18:40
RESP-0341,8,It's fine for basic reporting.,Enterprise,2025-06-18T05:39:52
RESP-0390,9,Solid reporting features. Would recommend.,Enterprise,2025-06-18T14:52:37
RESP-0126,10,Excellent customer support.,Startup,2025-06-18T16:19:46
RESP-0347,9,Exactly what we needed for our marketing team.,Mid-Market,2025-06-18T19:40:26
RESP-0107,9,Powerful and easy to learn.,SMB,2025-06-19T02:01:56
RESP-0280,9,Really easy to use. Saves us hours each week.,Enterprise,2025-06-19T09:39:34
RESP-0140,8,"Some features are great, others feel half-baked.",Startup,2025-06-19T17:07:35
RESP-0432,10,The team loves it. Onboarding was smooth.,Mid-Market,2025-06-19T22:33:50
RESP-0456,9,Solid reporting features. Would recommend.,Enterprise,2025-06-20T05:42:04
RESP-0459,10,Best analytics tool we've tried.,Mid-Market,2025-06-20T17:56:05
RESP-0014,10,"Great product, love the dashboard.",Enterprise,2025-06-20T19:49:59
RESP-0338,9,Exactly what we needed for our marketing team.,Mid-Market,2025-06-20T20:53:31
RESP-0037,8,Decent tool. Wish it had better integrations.,Startup,2025-06-21T21:12:36
RESP-0008,9,Very intuitive interface.,Enterprise,2025-06-22T06:12:10
RESP-0006,9,The team loves it. Onboarding was smooth.,Mid-Market,2025-06-22T12:01:13
RESP-0335,8,Decent tool. Wish it had better integrations.,Startup,2025-06-23T17:10:13
RESP-0357,8,Decent tool. Wish it had better integrations.,SMB,2025-06-23T17:42:04
RESP-0189,7,Useful but a bit slow with large datasets.,Startup,2025-06-23T18:04:51
RESP-0202,8,"Good overall, but the export feature needs work.",Startup,2025-06-24T10:42:49
RESP-0109,10,Solid reporting features. Would recommend.,Enterprise,2025-06-24T15:52:56
RESP-0010,3,Support response time is too slow.,Mid-Market,2025-06-24T23:32:34
RESP-0138,9,"Great product, love the dashboard.",Enterprise,2025-06-24T23:50:35
RESP-0032,9,Exactly what we needed for our marketing team.,Startup,2025-06-25T10:24:21
RESP-0128,10,Exactly what we needed for our marketing team.,Enterprise,2025-06-25T12:04:31
RESP-0169,8,It's fine for basic reporting.,Startup,2025-06-25T12:29:09
RESP-0490,10,Powerful and easy to learn.,Mid-Market,2025-06-26T02:11:28
RESP-0479,5,Too complex for our team.,Startup,2025-06-26T22:31:37
RESP-0422,6,Support response time is too slow.,Enterprise,2025-06-28T17:43:42
RESP-0117,3,Support response time is too slow.,Enterprise,2025-06-28T19:00:20
RESP-0159,9,Very intuitive interface.,Enterprise,2025-06-29T08:43:54
RESP-0402,2,We had trouble getting data imported.,SMB,2025-06-29T08:58:50
RESP-0410,9,Excellent customer support.,Mid-Market,2025-06-29T12:40:45
RESP-0146,6,Pricing doesn't match the value.,Mid-Market,2025-06-29T23:02:14
RESP-0137,8,"Good overall, but the export feature needs work.",Enterprise,2025-06-30T20:49:19
RESP-0307,8,Useful but a bit slow with large datasets.,Startup,2025-07-01T01:23:48
RESP-0491,6,Missing key integrations we need.,SMB,2025-07-01T09:24:48
RESP-0190,7,"Does what we need, nothing more.",Mid-Market,2025-07-01T13:59:38
RESP-0478,8,It's fine for basic reporting.,Startup,2025-07-01T17:07:52
RESP-0152,8,Decent tool. Wish it had better integrations.,Mid-Market,2025-07-01T18:09:37
RESP-0333,9,Best analytics tool we've tried.,Mid-Market,2025-07-02T00:29:54
RESP-0254,10,Best analytics tool we've tried.,Mid-Market,2025-07-03T01:52:15
RESP-0323,10,Best analytics tool we've tried.,Enterprise,2025-07-03T21:54:49
RESP-0383,6,Support response time is too slow.,Mid-Market,2025-07-03T22:45:05
RESP-0484,8,Useful but a bit slow with large datasets.,SMB,2025-07-04T15:18:21
RESP-0096,5,We're considering switching to a competitor.,Enterprise,2025-07-05T10:48:24
RESP-0036,7,Useful but a bit slow with large datasets.,SMB,2025-07-05T15:54:20
RESP-0464,10,Powerful and easy to learn.,Startup,2025-07-05T16:03:56
RESP-0447,9,Solid reporting features. Would recommend.,Enterprise,2025-07-05T22:05:21
RESP-0367,9,Exactly what we needed for our marketing team.,SMB,2025-07-06T00:56:17
RESP-0326,9,Really easy to use. Saves us hours each week.,Mid-Market,2025-07-07T02:59:15
RESP-0102,7,Adequate for our current needs.,Startup,2025-07-07T18:14:40
RESP-0420,8,"Good overall, but the export feature needs work.",Mid-Market,2025-07-08T05:15:19
RESP-0123,10,"Great product, love the dashboard.",SMB,2025-07-08T05:15:32
RESP-0281,10,Best analytics tool we've tried.,Enterprise,2025-07-08T05:21:40
RESP-0328,8,"Some features are great, others feel half-baked.",Startup,2025-07-08T16:34:18
RESP-0108,9,The team loves it. Onboarding was smooth.,SMB,2025-07-08T18:17:50
RESP-0133,8,"Good overall, but the export feature needs work.",Enterprise,2025-07-08T19:05:17
RESP-0068,8,UI could be more modern.,Startup,2025-07-08T21:51:21
RESP-0455,10,Best analytics tool we've tried.,Startup,2025-07-09T19:49:46
RESP-0048,7,UI could be more modern.,Mid-Market,2025-07-10T11:43:22
RESP-0013,0,Pricing doesn't match the value.,Mid-Market,2025-07-10T13:14:14
RESP-0394,8,"Does what we need, nothing more.",Startup,2025-07-11T02:51:56
RESP-0112,9,Powerful and easy to learn.,Enterprise,2025-07-12T04:33:04
RESP-0124,9,Solid reporting features. Would recommend.,Enterprise,2025-07-12T20:23:51
RESP-0492,6,Not intuitive at all.,Enterprise,2025-07-13T17:57:00
RESP-0475,4,We had trouble getting data imported.,Mid-Market,2025-07-13T21:34:06
RESP-0374,10,Exactly what we needed for our marketing team.,Enterprise,2025-07-14T04:24:41
RESP-0232,7,Useful but a bit slow with large datasets.,Mid-Market,2025-07-14T10:43:13
RESP-0118,0,Missing key integrations we need.,Enterprise,2025-07-14T12:38:10
RESP-0451,8,Decent tool. Wish it had better integrations.,Startup,2025-07-14T13:16:00
RESP-0332,5,Crashed several times during setup.,Enterprise,2025-07-14T18:51:53
RESP-0198,10,Love the funnel analysis feature.,Mid-Market,2025-07-15T06:26:30
RESP-0020,1,Pricing doesn't match the value.,Startup,2025-07-16T03:30:15
RESP-0222,7,Decent tool. Wish it had better integrations.,Enterprise,2025-07-16T11:42:07
RESP-0214,8,"Does what we need, nothing more.",Startup,2025-07-16T13:43:31
RESP-0477,7,Decent tool. Wish it had better integrations.,Mid-Market,2025-07-16T23:51:11
RESP-0143,10,Solid reporting features. Would recommend.,Enterprise,2025-07-17T06:04:21
RESP-0039,9,Solid reporting features. Would recommend.,Enterprise,2025-07-17T10:25:09
RESP-0238,7,"Does what we need, nothing more.",Enterprise,2025-07-17T15:01:56
RESP-0164,9,The team loves it. Onboarding was smooth.,Startup,2025-07-18T04:29:30
RESP-0466,10,Solid reporting features. Would recommend.,Startup,2025-07-18T19:44:36
RESP-0090,3,Pricing doesn't match the value.,Mid-Market,2025-07-19T06:38:48
RESP-0031,6,Support response time is too slow.,Startup,2025-07-19T19:40:32
RESP-0218,9,Powerful and easy to learn.,Enterprise,2025-07-19T21:23:47
RESP-0217,9,Really easy to use. Saves us hours each week.,Enterprise,2025-07-20T06:04:29
RESP-0418,4,Support response time is too slow.,SMB,2025-07-20T14:58:24
RESP-0250,8,It's fine for basic reporting.,Enterprise,2025-07-20T19:29:49
RESP-0429,9,Solid reporting features. Would recommend.,Mid-Market,2025-07-21T07:27:20
RESP-0200,8,UI could be more modern.,Enterprise,2025-07-21T08:39:03
RESP-0206,9,Best analytics tool we've tried.,Mid-Market,2025-07-22T06:54:51
RESP-0277,9,Solid reporting features. Would recommend.,SMB,2025-07-22T17:08:28
RESP-0044,8,It's fine for basic reporting.,Startup,2025-07-22T20:14:27
RESP-0055,10,Love the funnel analysis feature.,Startup,2025-07-22T22:57:09
RESP-0148,8,"Good overall, but the export feature needs work.",Startup,2025-07-23T01:47:57
RESP-0028,9,Really easy to use. Saves us hours each week.,SMB,2025-07-23T02:11:50
RESP-0158,8,Decent tool. Wish it had better integrations.,Mid-Market,2025-07-23T09:04:21
RESP-0439,10,Very intuitive interface.,SMB,2025-07-23T12:11:58
RESP-0489,10,Solid reporting features. Would recommend.,Mid-Market,2025-07-23T13:28:36
RESP-0286,10,Best analytics tool we've tried.,Startup,2025-07-24T00:05:59
RESP-0353,10,Really easy to use. Saves us hours each week.,Startup,2025-07-24T01:37:00
RESP-0046,7,Adequate for our current needs.,Mid-Market,2025-07-24T09:11:40
RESP-0263,8,"Good overall, but the export feature needs work.",SMB,2025-07-25T08:50:54
RESP-0221,9,Excellent customer support.,Enterprise,2025-07-25T14:41:44
RESP-0191,10,Really easy to use. Saves us hours each week.,Startup,2025-07-26T06:37:56
RESP-0470,9,Excellent customer support.,SMB,2025-07-26T15:59:04
RESP-0461,9,Really easy to use. Saves us hours each week.,Mid-Market,2025-07-26T20:58:56
RESP-0064,9,Solid reporting features. Would recommend.,Enterprise,2025-07-27T09:22:14
RESP-0500,10,Excellent customer support.,Enterprise,2025-07-27T19:41:54
RESP-0415,9,Powerful and easy to learn.,SMB,2025-07-28T09:52:21
RESP-0170,9,Excellent customer support.,Enterprise,2025-07-28T12:03:36
RESP-0497,9,Exactly what we needed for our marketing team.,Enterprise,2025-07-29T04:55:44
RESP-0088,8,It's fine for basic reporting.,Mid-Market,2025-07-30T01:34:32
RESP-0196,10,Powerful and easy to learn.,SMB,2025-07-30T03:05:40
RESP-0086,10,Very intuitive interface.,Enterprise,2025-07-30T05:31:00
RESP-0057,10,Powerful and easy to learn.,Enterprise,2025-07-30T11:23:39
RESP-0080,7,"Does what we need, nothing more.",Mid-Market,2025-07-30T12:24:30
RESP-0443,3,We're considering switching to a competitor.,SMB,2025-07-31T07:47:46
RESP-0325,10,"Great product, love the dashboard.",SMB,2025-07-31T17:15:11
RESP-0392,4,Too complex for our team.,Startup,2025-07-31T18:52:08
RESP-0026,3,We're considering switching to a competitor.,Mid-Market,2025-08-01T06:58:53
RESP-0363,8,"Does what we need, nothing more.",Startup,2025-08-01T17:50:32
RESP-0065,3,Crashed several times during setup.,Mid-Market,2025-08-01T22:54:20
RESP-0306,7,"Some features are great, others feel half-baked.",SMB,2025-08-01T23:47:14
RESP-0230,9,"Great product, love the dashboard.",Mid-Market,2025-08-02T17:42:14
RESP-0120,6,Missing key integrations we need.,Startup,2025-08-03T03:46:56
RESP-0438,9,"Great product, love the dashboard.",SMB,2025-08-03T11:17:23
RESP-0125,9,The team loves it. Onboarding was smooth.,Startup,2025-08-04T15:59:25
RESP-0488,10,The team loves it. Onboarding was smooth.,SMB,2025-08-04T16:12:11
RESP-0076,10,Powerful and easy to learn.,Enterprise,2025-08-05T09:27:53
RESP-0495,10,The team loves it. Onboarding was smooth.,Enterprise,2025-08-05T11:48:52
RESP-0005,8,UI could be more modern.,Mid-Market,2025-08-05T12:51:40
RESP-0259,9,Very intuitive interface.,Startup,2025-08-06T00:39:53
RESP-0211,9,Really easy to use. Saves us hours each week.,SMB,2025-08-06T05:01:25
RESP-0219,10,Really easy to use. Saves us hours each week.,Startup,2025-08-06T11:16:25
RESP-0362,9,Solid reporting features. Would recommend.,SMB,2025-08-06T11:31:51
RESP-0413,8,Useful but a bit slow with large datasets.,Startup,2025-08-06T17:47:44
RESP-0058,9,Exactly what we needed for our marketing team.,Enterprise,2025-08-07T05:07:39
RESP-0342,8,Useful but a bit slow with large datasets.,SMB,2025-08-08T00:03:27
RESP-0376,9,Best analytics tool we've tried.,Mid-Market,2025-08-08T16:44:39
RESP-0171,8,Useful but a bit slow with large datasets.,Mid-Market,2025-08-08T19:11:13
RESP-0268,10,Solid reporting features. Would recommend.,Enterprise,2025-08-09T11:58:03
RESP-0337,9,Love the funnel analysis feature.,Startup,2025-08-10T02:15:36
RESP-0071,9,Powerful and easy to learn.,Mid-Market,2025-08-10T02:38:38
RESP-0304,6,We're considering switching to a competitor.,Startup,2025-08-10T05:51:27
RESP-0227,9,Exactly what we needed for our marketing team.,SMB,2025-08-10T07:34:41
RESP-0359,10,Solid reporting features. Would recommend.,Startup,2025-08-10T12:20:39
RESP-0382,9,"Great product, love the dashboard.",Startup,2025-08-10T15:52:48
RESP-0453,10,Love the funnel analysis feature.,Mid-Market,2025-08-10T16:54:33
RESP-0035,6,Crashed several times during setup.,Mid-Market,2025-08-11T00:36:57
RESP-0375,9,Powerful and easy to learn.,SMB,2025-08-11T01:57:08
RESP-0215,9,Love the funnel analysis feature.,Enterprise,2025-08-11T08:10:09
RESP-0343,7,Decent tool. Wish it had better integrations.,Startup,2025-08-11T17:33:05
RESP-0361,5,Not intuitive at all.,Enterprise,2025-08-11T18:34:00
RESP-0319,7,Useful but a bit slow with large datasets.,Mid-Market,2025-08-11T23:53:45
RESP-0274,10,Really easy to use. Saves us hours each week.,Mid-Market,2025-08-12T03:26:18
RESP-0234,9,Love the funnel analysis feature.,Enterprise,2025-08-13T21:54:49
RESP-0423,9,The team loves it. Onboarding was smooth.,Mid-Market,2025-08-14T10:09:40
RESP-0163,3,We had trouble getting data imported.,SMB,2025-08-15T16:31:41
RESP-0398,8,It's fine for basic reporting.,Enterprise,2025-08-16T06:03:00
RESP-0391,7,Useful but a bit slow with large datasets.,SMB,2025-08-16T14:02:18
RESP-0236,8,"Good overall, but the export feature needs work.",Startup,2025-08-16T23:58:44
RESP-0248,8,UI could be more modern.,SMB,2025-08-17T03:40:56
RESP-0095,10,"Great product, love the dashboard.",Mid-Market,2025-08-17T04:02:04
RESP-0364,4,We had trouble getting data imported.,SMB,2025-08-17T08:17:01
RESP-0354,4,Pricing doesn't match the value.,Mid-Market,2025-08-17T13:34:43
RESP-0224,10,Really easy to use. Saves us hours each week.,Mid-Market,2025-08-19T19:51:08
RESP-0091,10,Love the funnel analysis feature.,Startup,2025-08-21T04:55:13
RESP-0223,5,We're considering switching to a competitor.,Mid-Market,2025-08-21T06:30:31
RESP-0460,7,Decent tool. Wish it had better integrations.,Enterprise,2025-08-22T19:31:01
RESP-0395,7,"Does what we need, nothing more.",SMB,2025-08-23T01:30:47
RESP-0298,0,Crashed several times during setup.,Mid-Market,2025-08-23T12:46:48
RESP-0105,9,Very intuitive interface.,Enterprise,2025-08-23T13:15:23
RESP-0023,8,Adequate for our current needs.,Startup,2025-08-24T04:47:03
RESP-0467,9,The team loves it. Onboarding was smooth.,Mid-Market,2025-08-24T06:24:56
RESP-0194,10,The team loves it. Onboarding was smooth.,Mid-Market,2025-08-24T06:52:49
RESP-0483,8,UI could be more modern.,Enterprise,2025-08-24T13:58:31
RESP-0446,6,Too complex for our team.,Enterprise,2025-08-24T23:46:03
RESP-0384,9,Really easy to use. Saves us hours each week.,SMB,2025-08-25T00:53:44
RESP-0022,8,Adequate for our current needs.,Mid-Market,2025-08-25T07:34:17
RESP-0060,8,UI could be more modern.,SMB,2025-08-25T07:51:09
RESP-0240,10,Best analytics tool we've tried.,Startup,2025-08-25T10:39:01
RESP-0412,6,Crashed several times during setup.,Enterprise,2025-08-25T22:42:58
RESP-0485,0,Not intuitive at all.,Mid-Market,2025-08-27T06:57:11
RESP-0225,2,Crashed several times during setup.,SMB,2025-08-27T09:22:39
RESP-0244,8,"Does what we need, nothing more.",SMB,2025-08-28T02:32:33
RESP-0192,9,The team loves it. Onboarding was smooth.,Mid-Market,2025-08-28T10:03:06
RESP-0401,5,We're considering switching to a competitor.,Startup,2025-08-28T17:19:13
RESP-0433,7,UI could be more modern.,Enterprise,2025-08-28T23:27:09
RESP-0309,9,Solid reporting features. Would recommend.,Mid-Market,2025-08-29T02:02:35
RESP-0030,8,"Does what we need, nothing more.",Mid-Market,2025-08-29T16:09:27
RESP-0111,3,Crashed several times during setup.,Mid-Market,2025-08-29T18:09:39
RESP-0275,7,Decent tool. Wish it had better integrations.,Startup,2025-08-29T20:30:52
RESP-0201,10,Best analytics tool we've tried.,Mid-Market,2025-08-30T10:43:05
RESP-0282,0,Crashed several times during setup.,Startup,2025-08-31T03:50:50
RESP-0388,9,Love the funnel analysis feature.,Startup,2025-08-31T07:15:54
RESP-0264,9,Powerful and easy to learn.,SMB,2025-08-31T13:50:53
RESP-0462,10,Best analytics tool we've tried.,SMB,2025-09-01T04:57:28
RESP-0284,7,"Does what we need, nothing more.",Mid-Market,2025-09-01T10:16:12
RESP-0012,7,"Some features are great, others feel half-baked.",Mid-Market,2025-09-01T14:17:00
RESP-0063,9,Solid reporting features. Would recommend.,Enterprise,2025-09-01T19:31:00
RESP-0212,9,Very intuitive interface.,Startup,2025-09-02T04:38:06
RESP-0442,9,Exactly what we needed for our marketing team.,Mid-Market,2025-09-02T08:11:37
RESP-0165,9,Really easy to use. Saves us hours each week.,SMB,2025-09-02T19:02:55
